A_source_id,A_content,A_author_id,A_rating,A_language,A_likes,A_replies,A_posted_at,B_id,B_platform,B_target_id,B_target_meta,B_extra_json,B_fetched_at,C_sentiment,C_sentiment_score,C_sentiment_confidence,C_topic,C_sub_topics,C_analyzed_at
"231636247","我认为该游戏可玩性高，除了在网咖打游戏不能保留设置，枪法不固定。。。","76561198348085236","1","schinese","1","0","2026-07-30T10:57:00","1","steam","steam:730","{""name"": ""Counter-Strike 2"", ""type"": ""game""}","{""appid"": ""730"", ""playtime_forever"": 85435, ""playtime_at_review"": 85360, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false}","2026-07-31T14:35:53.312259","positive","0.6","0.8","游戏性","[""可玩性"", ""操作""]","2026-07-31T14:36:55.419666"
"231673722","游戏环境越来越恶劣了，我好不容易带入坑的朋友因为压力怪和嘴臭的人都退游了，我是永远都不会原谅这个游戏环境的","76561199546822195","0","schinese","1","0","2026-07-30T23:27:01","2","steam","steam:730","{""name"": ""Counter-Strike 2"", ""type"": ""game""}","{""appid"": ""730"", ""playtime_forever"": 57076, ""playtime_at_review"": 57076, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false}","2026-07-31T14:35:53.312656","negative","-0.8","0.95","游戏环境","[""玩家行为"", ""社交体验""]","2026-07-31T14:36:25.960778"
"231673532","2026年，电脑市场涨价，生育率逐渐下降，玩的新大学生越来越少，游戏外挂依旧不封 老东西下了班也玩不动游戏 新生代社交属性也不如三角洲和瓦罗兰特 可cs2依然是最传统最纯粹的fps，最好看的比赛  另外...要是老vp还能再一起打次比赛就好了","76561198162471616","1","schinese","1","0","2026-07-30T23:24:20","3","steam","steam:730","{""name"": ""Counter-Strike 2"", ""type"": ""game""}","{""appid"": ""730"", ""playtime_forever"": 137637, ""playtime_at_review"": 137103, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false}","2026-07-31T14:35:53.312896","neutral","0.1","0.7","游戏性","[""玩家生态"", ""竞技性"", ""怀旧""]","2026-07-31T14:36:27.537015"
"231705257","傻掉游戏  vac他妈的一个外挂不封 我打外挂说我过度伤害队友","76561198708171941","0","schinese","0","0","2026-07-31T07:56:51","4","steam","steam:730","{""name"": ""Counter-Strike 2"", ""type"": ""game""}","{""appid"": ""730"", ""playtime_forever"": 3914, ""playtime_at_review"": 3601, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false}","2026-07-31T14:35:53.314730","negative","-0.8","0.9","游戏性","[""外挂"", ""惩罚机制""]","2026-07-31T14:36:16.493582"
"231704115","cheat、百分之五十胜率 这里面的人都会ct听t家呀，太棒了捏，我的耳机怎么没有那么厉害，还有当陀螺转起来的魔王呢","76561199688894256","0","schinese","0","0","2026-07-31T07:31:04","5","steam","steam:730","{""name"": ""Counter-Strike 2"", ""type"": ""game""}","{""appid"": ""730"", ""playtime_forever"": 74092, ""playtime_at_review"": 74092, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false}","2026-07-31T14:35:53.314991","negative","-0.6","0.8","游戏性","[""作弊"", ""匹配机制"", ""玩家体验""]","2026-07-31T14:36:17.755751"
"231683413","This is a wildly popular but terrible game with awful motion controls. Even if you're a seasoned CS player, you'll still need a fast internet connection and a bit of luck. Your skill is irrelevant. While it mimics real-world gunfights, the development team must have been out of their minds. The game should prioritize motion controls. And it's a far cry from realistic bullet trajectories and all the variables. You'll win or lose inexplicably.","76561198324829595","0","schinese","0","0","2026-07-31T01:46:19","6","steam","steam:730","{""name"": ""Counter-Strike 2"", ""type"": ""game""}","{""appid"": ""730"", ""playtime_forever"": 64992, ""playtime_at_review"": 64985, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false}","2026-07-31T14:35:53.315302","negative","-0.8","0.9","操作","[""游戏性"", ""网络"", ""公平性""]","2026-07-31T14:36:21.745379"
"231680375","玩吧，能玩出七宗罪出来，当你的欲望攀升的时候，你就该进入练枪室了","76561199747829390","1","schinese","0","0","2026-07-31T01:03:32","7","steam","steam:730","{""name"": ""Counter-Strike 2"", ""type"": ""game""}","{""appid"": ""730"", ""playtime_forever"": 4809, ""playtime_at_review"": 4306, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false}","2026-07-31T14:35:53.315597","positive","0.6","0.7","游戏性","[""挑战性"", ""上瘾性""]","2026-07-31T14:36:24.574619"
"231664973","CS一直是我最喜欢的游戏。从CSGO走到CS2，一路走来承载了太多回忆。 现阶段的CS2确实还有不少问题：仓促的更新、偶尔拉胯的优化，外挂和摆烂玩家依然影响着对局体验，不少改动也让老玩家一时难以适应，游戏环境还有很大的改善空间。 但我依然愿意相信它以后一定会越来越好。它拥有最纯粹的竞技内核，独一无二的对战手感，庞大的玩家社区。V社一直在持续调整修复，慢慢打磨细节。 它现在或许不够完美，但我愿意继续等待，期待未来版本不断完善，整治对局环境，回归竞技本身，变回我们心中那个无可替代的CS。","76561199238497354","1","schinese","0","0","2026-07-30T21:14:48","8","steam","steam:730","{""name"": ""Counter-Strike 2"", ""type"": ""game""}","{""appid"": ""730"", ""playtime_forever"": 26078, ""playtime_at_review"": 26078, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false}","2026-07-31T14:35:53.315813","positive","0.7","0.9","游戏性","[""优化"", ""外挂"", ""社区""]","2026-07-31T14:36:32.908784"
"231663282","不好玩，重复性太强","76561198682441602","1","schinese","0","0","2026-07-30T20:48:04","9","steam","steam:730","{""name"": ""Counter-Strike 2"", ""type"": ""game""}","{""appid"": ""730"", ""playtime_forever"": 824, ""playtime_at_review"": 669, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false}","2026-07-31T14:35:53.316015","negative","-0.7","0.9","游戏性","[""重复性"", ""趣味性""]","2026-07-31T14:36:34.161510"
"231660584","那些停在国服非优先官匹的别一直叫外挂多了，没钱买优先没事，但你动动手指下个完美5E解决90%的外挂问题你这何乐而不为呢，你待在那里技术也学不到什么","76561198711740431","1","schinese","0","0","2026-07-30T20:00:30","10","steam","steam:730","{""name"": ""Counter-Strike 2"", ""type"": ""game""}","{""appid"": ""730"", ""playtime_forever"": 7838, ""playtime_at_review"": 7642, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false}","2026-07-31T14:35:53.316217","neutral","0.1","0.7","游戏性","[""外挂问题"", ""平台建议""]","2026-07-31T14:36:35.937119"
